Date,Close,High,Low,Open,Volume
2020-01-01,14187.328125,14423.926283117748,14155.026998776806,14293.932265640698,10221
2020-01-02,14305.255859375,14340.666995147682,14108.617367394483,14220.883158590252,12982
2020-01-03,14083.4638671875,14353.569639969333,14043.643787591594,14280.33441322516,12150
2020-01-06,13754.7880859375,14080.771588375752,13700.30265137004,14062.16138928569,10161
2020-01-07,13763.328125,13922.932047258146,13642.476492276435,13783.794721776789,12015
2020-01-08,13484.310546875,13686.471988322586,13464.168459188726,13683.50157198903,10878
2020-01-09,13811.5,13862.643370244756,13560.978884451013,13653.798726233703,10637
2020-01-10,13790.337890625,14001.410596982845,13675.612915949932,13812.522197865474,12854
2020-01-13,13729.2626953125,13867.285997608258,13693.295002380282,13853.363019699014,6553
2020-01-14,14046.7060546875,14107.688876887612,13684.940692507953,13768.896427380147,16359
2020-01-15,13885.525390625,14155.027469073382,13739.194530965522,14043.783238721853,12863
2020-01-16,13760.7734375,13996.396240610047,13739.192824530783,13960.104045462977,14103
2020-01-17,14282.330078125,14340.62076331484,13791.823393800834,13844.080788670437,33609
2020-01-20,13895.45703125,14433.487692272969,13848.722596058695,14368.513792693606,17559
2020-01-21,13863.1083984375,14043.643002802677,13820.875367596289,13857.957078162117,14888
2020-01-22,13609.7568359375,14004.519479629807,13552.62639912708,13904.367404602497,15276
2020-01-23,13898.6123046875,14108.617215543869,13599.964436983471,13652.871751541761,21615
2020-01-24,13943.8173828125,14147.556977601263,13854.942365951343,13969.296615932504,10465
2020-01-27,13813.310546875,14014.544707736617,13774.465802052546,13867.193195197813,6658
2020-01-28,13634.818359375,13969.387696491029,13598.247881630572,13823.660529158864,19596
2020-01-29,13679.373046875,13818.046279793147,13612.4502906336,13635.237384892744,14115
2020-01-30,13217.5,13644.51752534631,13138.649358590272,13613.886975799613,29296
2020-01-31,12888.6865234375,13319.648920100117,12846.267669281227,13319.556462824567,24677
2020-02-03,12641.599609375,12899.128467312776,12533.278661948407,12623.49973842652,13218
2020-02-04,13007.078125,13087.599347938558,12670.838205582217,12734.883904518938,16428
2020-02-05,12803.2919921875,13403.186509013363,12581.730826154859,13110.80397782644,73277
2020-02-06,13097.9482421875,13179.304294463109,12830.023390433014,12882.466604146848,21721
2020-02-07,13174.896484375,13226.82937468227,12913.701955537088,13179.723298137349,20872
2020-02-10,13071.49609375,13194.064534936482,12971.575154046626,13174.896871684059,8908
2020-02-11,13179.955078125,13231.470096740863,13092.240316697991,13161.855206719427,14836
2020-02-12,13347.029296875,13405.134155896598,13097.761790297294,13235.181386288858,12694
2020-02-13,13628.693359375,13666.74950070229,13234.997573773773,13347.031322335823,15744
