Date,Close,High,Low,Open,Volume
2019-12-30,12569.701171875,12763.15819291437,12410.068599862247,12496.027878720386,14322
2020-01-06,11892.697265625,12552.765051975552,11860.723128677242,12552.765051975552,56651
2020-01-13,11918.078125,12257.314951925788,11859.775284392936,11985.441648615351,29308
2020-01-20,11952.044921875,12143.034567106273,11860.724647709569,11964.710791881507,35430
2020-01-27,11688.330078125,12115.946317083926,11575.140569179632,11916.702094171818,38041
2020-02-03,13380.814453125,13704.20640833657,11562.37842210684,11688.993557927619,147876
2020-02-10,14027.7880859375,14605.549027400526,13472.703403214726,13660.562225315889,127415
2020-02-17,14732.353515625,15360.778831160189,13781.05698101308,14022.996363468043,63600
2020-02-24,14913.8564453125,15653.953631368388,14611.242252443977,14989.806256257298,72273
2020-03-02,14790.705078125,15275.295477817042,13568.531191377217,15061.914038396846,80189
2020-03-09,14207.013671875,15064.190910295416,11954.652575354661,14894.880585933106,138692
2020-03-16,13982.009765625,14610.293363174658,11861.150387598724,14136.851166394077,142987
2020-03-23,13421.564453125,14040.977327300832,12335.11457387423,12808.556783886019,60768
2020-03-30,15000.716796875,16015.439077274597,14231.729037862497,16015.439077274597,148363
2020-04-06,16968.5859375,17552.466742347176,15000.717590804326,15000.717590804326,121602
2020-04-13,16051.9677734375,17457.588263217778,15856.044296461712,17305.78314788545,121161
2020-04-20,15597.927734375,16376.025326801482,15389.24387692233,16241.250103893739,91708
2020-04-27,16822.615234375,17267.83115579572,15561.921242712166,15748.83128324468,137504
2020-05-04,16797.947265625,17647.344308201187,16330.766661815745,16603.68416094198,106878
2020-05-11,16717.111328125,17723.009184992923,16575.409264982798,16983.196478077774,67018
2020-05-18,15582.701171875,16793.44152011699,15393.98806010724,16792.492738110202,62469
2020-05-25,15866.8623046875,16034.41684620201,15579.001456487396,15582.70207714682,51133
2020-06-01,16284.46875,16507.858740440373,15703.339749567807,16081.85560379702,77436
2020-06-08,15259.830078125,16887.371120717762,14772.536004807886,16508.80709593174,147741
2020-06-15,14856.455078125,15441.42641069715,14811.529696358039,15275.389567571374,63936
2020-06-22,15139.0966796875,15654.9023636383,14733.397883596865,14856.455089303652,113401
2020-06-29,14855.505859375,15155.795341113208,14794.356678495642,15023.961906238601,37618
2020-07-06,14718.0751953125,15085.633710551063,14706.12091280135,14971.779871226148,47943
2020-07-13,14481.0224609375,14937.196660927282,14397.766840492477,14717.506374281338,55556
2020-07-20,14361.3818359375,14822.347213019671,14136.85219868735,14610.10448832502,81532
2020-07-27,14740.6083984375,14859.491520590596,14052.409766674951,14444.541169818254,101514
2020-08-03,15369.3193359375,15926.254359716457,14706.120730108727,14800.998928367493,111671
2020-08-10,15625.3955078125,16461.366917664534,15423.921103760727,16317.152060518423,105218
2020-08-17,15977.7255859375,16223.222920915385,15631.182971055674,15721.31725829393,76815
2020-08-24,15954.7666015625,16444.289942714237,15920.562268563634,16129.294312609163,63417
2020-08-31,15827.33203125,16202.589994397105,15308.795181946278,16093.370935021025,45677
2020-09-07,16092.6533203125,16168.001296528717,15595.83507713446,15839.819000120304,38740
