Date,Close,High,Low,Open,Volume
2020-01-01,12888.685546875,14433.486063710581,12846.266695932762,14293.931787723546,349530
2020-02-01,11257.6103515625,13876.568897558387,11147.665047469982,12878.755414958034,376915
2020-03-01,8720.9365234375,12707.03934178446,7286.359301169322,11482.373697428167,668159
2020-04-01,9850.4609375,10303.003961756667,8084.609415036088,8724.138219509092,627020
2020-05-01,9023.158203125,9850.461435864378,8381.633376724278,9850.461435864378,891811
2020-06-01,10598.2626953125,10999.151981152458,9096.345098337053,9096.345098337053,1146169
2020-07-01,12139.5830078125,12957.650348276033,10349.412706538522,10604.667280018171,1476586
2020-08-01,11893.935546875,13668.511481729409,11788.81706703392,12139.583641814055,1411981
2020-09-01,12847.3544921875,12988.132349521902,11332.532990771326,12257.810149399296,1693523
2020-10-01,10863.7412109375,13142.477141053856,10823.83278678224,12875.658887566877,906462
2020-11-01,11992.162109375,12897.22832716625,10540.828141595857,10929.101497856624,3173664
2020-12-01,11963.435546875,12769.034915917875,11144.314062135996,12023.41423521549,2397539
2021-01-01,14342.107421875,15486.013885632441,11958.384136458162,11989.262593148547,1905118
2021-02-01,13899.888671875,15748.057950561279,13430.816186212523,14525.97231001081,1406569
2021-03-01,13182.6669921875,14633.579638183062,12716.308413767365,14035.660500846981,798478
2021-04-01,12640.515625,13893.244905472226,12448.086357401906,13329.152085364902,621086
2021-05-01,14275.669921875,15205.298478056484,12374.773684449046,12379.45223782691,1498328
2021-06-01,14059.1953125,15158.514766322145,13952.383560532686,14288.303733440689,776281
2021-07-01,14005.951171875,15139.611246148734,13864.19100602134,14129.231052081072,815522
2021-08-01,13066.4208984375,14884.888755290813,12644.848576336033,14210.835415868465,945924
2021-09-01,14589.3203125,15300.661045692106,13057.745731889561,13103.942810652203,1028270
2021-10-01,15982.5869140625,17507.749704536327,14347.492461154217,14544.159652829045,1537384
2021-11-01,15243.62109375,18148.85153568281,14794.425049133188,16062.488583625718,1496726
2021-12-01,16329.4892578125,16423.533313381373,14330.522753352288,15273.320302914939,769712
2022-01-01,15588.12109375,16904.31253505925,14871.07566611494,16329.489593823391,557644
2022-02-01,14847.9287109375,16053.861515319557,14118.392207900763,15768.287791461787,525256
2022-03-01,13612.5830078125,14847.93050626657,13072.689599436348,14847.93050626657,864807
2022-04-01,13662.64453125,14300.306203063556,13225.893568643565,13595.140595326038,379901
2022-05-01,13790.677734375,13859.077514884078,12192.682786868685,13595.141147373113,581594
2022-06-01,14358.4296875,14801.922038382545,12411.930167853898,13840.26850467871,477388
2022-07-01,16136.734375,16244.401114193413,14331.98331890495,14399.346385204643,762521
2022-08-01,16648.607421875,17298.459762674513,15947.260391538235,16325.83914536664,1258986
2022-09-01,15011.0859375,16988.363642111974,14522.40271115841,16601.099569814414,739005
2022-10-01,15650.5947265625,15713.620430865882,14611.246229323107,15087.258349291651,334446
2022-11-01,16140.1796875,16620.368522218672,15289.85923526252,15670.906384181575,694653
2022-12-01,16386.775390625,16988.032474311236,15773.038116614258,16159.733069020405,624717
2023-01-01,16163.1494140625,16634.2728817564,15534.27259899391,16456.682298208005,249727
2023-02-01,17081.62109375,17583.498271124194,15927.184938702509,16230.921481037716,492442
2023-03-01,18586.65234375,18716.240290366655,17081.288137963482,17268.547359340246,647452
2023-04-01,18588.5234375,18860.17554249402,17708.843427333024,18711.491898833956,463287
2023-05-01,17817.5625,19047.723130127986,17507.91017789642,18588.523184253776,578516
2023-06-01,18272.345703125,18663.41660137762,17737.00479118262,17847.83438795002,403964
2023-07-01,18203.2109375,19181.67723520132,17982.222680724,18327.714320254745,619113
2023-08-01,18350.80078125,18969.43188460843,17715.81958060577,18910.15240996903,550929
2023-09-01,18791.296875,19512.77750332881,18284.90310496943,18375.649717613913,446820
2023-10-01,19217.3671875,20680.730779499492,18376.636824640827,18791.29597079966,501212
2023-11-01,21340.16796875,21587.609614638615,19068.231833525184,19226.310439398967,557499
2023-12-01,21937.1640625,22032.208062632857,21074.84440287092,21439.413226866953,542978
2024-01-01,23285.126953125,23881.775270013648,21835.595168118256,22033.193423112312,508926
2024-02-01,28247.51171875,28948.14616100062,23305.974635781018,23316.595542648964,930910
2024-03-01,29886.056640625,30999.345354254732,27980.01906838607,28452.572103132414,812409
2024-04-01,29214.072265625,31248.28572817149,28400.873966525112,29904.764374444574,765559
2024-05-01,30246.751953125,32073.623428278584,29019.019466863996,29214.071521408518,2079714
2024-06-01,33919.55078125,36500.60850673294,27366.997489916463,30407.222120159906,966977
2024-07-01,34809.27734375,35604.76287428939,32939.91316974972,33835.61089128266,563043
2024-08-01,32389.599609375,35182.80078125,30900.0,34853.0,679799
2024-09-01,37678.8984375,38179.8984375,31922.349609375,32389.599609375,1017909
2024-10-01,35121.6015625,39088.80078125,34822.3515625,37700.0,602083
2024-11-01,34966.19921875,36772.69921875,32830.5,35339.0,573006
2024-12-01,34100.19921875,36997.3515625,33539.30078125,34720.1015625,408302
2025-01-01,28729.150390625,34919.25,27980.05078125,34121.0,612941
2025-02-01,26544.0,29119.94921875,26310.75,28899.0,425231
2025-03-01,28358.44921875,28560.0,26005.0,26544.0,481142
2025-04-01,27289.099609375,28349.94921875,27124.599609375,28100.150390625,123663
