Date,Close,High,Low,Open,Volume
2020-01-01,69158.84375,70474.23441676072,63823.89105271278,65708.82991910627,183014
2020-02-01,65901.609375,73021.00218923527,64831.38956595001,69272.26282504915,168515
2020-03-01,57736.21484375,68053.59232852218,49547.60281355993,66398.51660227377,314792
2020-04-01,60065.14453125,61881.02766648897,54098.74892241977,57473.71674510284,269696
2020-05-01,58677.87890625,60065.13628455478,55736.59330161183,60065.13628455478,153200
2020-06-01,66779.2109375,67226.394261454,58928.539478907565,59061.94844675546,258376
2020-07-01,60599.078125,67052.66013621715,60155.81509363481,66308.18204440126,278335
2020-08-01,57560.52734375,64124.3944423049,57096.5700408403,60550.89877678946,428774
2020-09-01,59133.6015625,59559.245317148314,54892.85621970137,58069.29636261357,330700
2020-10-01,64925.4921875,69205.79112909613,57525.3494269642,59225.407152161264,525042
2020-11-01,77288.96875,80779.41079514586,64385.445871297015,65121.114849264064,1151484
2020-12-01,75315.3203125,79642.22016941464,73353.94897263919,78943.90312021649,544252
2021-01-01,83586.2421875,95925.50872071335,75116.02906219964,75563.44419228553,1019908
2021-02-01,84012.7578125,98033.55618308696,83322.14631478582,84400.36991417063,1131786
2021-03-01,81789.671875,90282.43823401755,80145.45960585184,84713.42537569295,591144
2021-04-01,80259.5546875,84009.61676690695,76759.11353115445,82673.14471358071,465390
2021-05-01,83163.71875,83485.47220981237,75516.2462256327,79940.73109838198,360900
2021-06-01,79622.1640625,86801.42761451121,79073.56511993063,83165.70899088633,340341
2021-07-01,79451.1015625,82973.4169479654,78748.72959945748,79642.54880206144,190621
2021-08-01,79287.3359375,82192.69488490584,75516.24648576987,80039.26696323883,277835
2021-09-01,78970.96875,82775.92859104316,77652.17820349663,79592.23902984921,267200
2021-10-01,76914.1171875,87103.7671431183,76259.32326122237,78597.34556603478,337442
2021-11-01,74250.390625,80079.58068401493,72677.65134869129,77297.98006687504,221637
2021-12-01,72966.9921875,74978.7631412092,68352.45525213737,74610.5338764417,193445
2022-01-01,71783.109375,76908.84367080194,69108.15589716945,73217.66671153356,161870
2022-02-01,65408.37890625,72312.32212084315,62681.29187690036,72033.73860139026,299176
2022-03-01,64696.0859375,69538.58213487265,63422.00626224775,65411.333235668346,230519
2022-04-01,72364.34375,73031.97942017627,64773.54429970395,64773.59482634162,196973
2022-05-01,77260.1171875,77773.72428620278,66345.6651236074,71638.99053538892,244859
2022-06-01,70445.9140625,77181.07643297693,65548.04804981098,76812.93155376846,178487
2022-07-01,83397.90625,83548.99646863843,69947.53425920308,69947.53425920308,182364
2022-08-01,85089.8203125,89211.43862027834,81836.3869683969,83729.26645650284,274556
2022-09-01,81391.3671875,93584.3940550042,78436.3285803126,85168.60657637139,376855
2022-10-01,90474.46875,90955.91209842233,79841.84722283429,81835.40146060793,227585
2022-11-01,93256.0078125,95690.58883043741,84825.71989031484,90507.34860212206,334533
2022-12-01,88253.1171875,94939.92033962088,84929.34422260072,93700.23784610296,177834
2023-01-01,90579.625,94178.71271466785,86634.19994123821,88317.46344749758,205933
2023-02-01,84984.734375,93151.00880237922,84370.0990383351,90709.81820047843,180094
2023-03-01,83781.9921875,87123.60964816847,81123.2521486673,85383.96802631464,115080
2023-04-01,88725.9453125,89018.22326595493,83062.82438189411,83782.00103762951,64043
2023-05-01,96904.953125,99618.16141277678,87724.35780042227,88725.93732760272,305939
2023-06-01,100940.984375,101327.55760246825,95764.41700420159,96793.6123445223,159620
2023-07-01,102631.375,102972.8954947395,98687.6088144236,100754.06753232561,98039
2023-08-01,108521.84375,111827.58568327411,101246.66223382835,102352.08911883915,157742
2023-09-01,107133.3046875,112557.4391966478,106638.45277907404,109334.36872011804,118718
2023-10-01,108133.984375,113267.70728263936,106244.05056644301,107133.30499471992,105469
2023-11-01,111514.0625,112819.0386598974,106846.18095163704,108335.87727093649,128906
2023-12-01,129386.7578125,130205.64110013163,110691.52434319293,111485.14053386972,136810
2024-01-01,142365.609375,150030.95566312925,127068.06280003833,129377.52545711464,253531
2024-02-01,145864.546875,151220.03274230714,136097.53021081226,143286.83481475833,337502
2024-03-01,133191.90625,147283.88480916127,129424.69183807855,145867.509984282,184779
2024-04-01,132824.53125,137353.38509304106,127125.54303317396,135795.7178666889,138196
2024-05-01,125247.6953125,134802.17383342702,122930.69713816898,132824.52921024922,216764
2024-06-01,129269.453125,130645.68358781311,116177.3681140359,128711.12400261883,169766
2024-07-01,142040.609375,142289.0416879887,126040.64321371893,129410.59641321191,253603
2024-08-01,134826.421875,143842.40481300585,131993.11650796974,142454.0709651525,205449
2024-09-01,138506.421875,142376.4697372426,132593.0744870147,135442.92563549126,129469
2024-10-01,122518.0625,140439.768316704,120743.70192684751,139592.7187493823,126197
2024-11-01,125244.7578125,126193.41140804057,117394.91765476648,122493.60457595062,161302
2024-12-01,130631.28125,133496.35138163323,124257.60388788859,125096.58095762036,120003
2025-01-01,113629.390625,130785.67115746623,110096.98728631774,129996.44275405364,150263
2025-02-01,105370.8203125,115416.7954673136,103821.26114398087,113629.39124343464,134678
2025-03-01,112677.75,116000.0,102124.046875,105500.0,119366
2025-04-01,134505.0,135600.0,108001.0,112500.0,157474
2025-05-01,140905.0,147435.0,131500.0,134505.0,194518
